z_m,component,retentate_flow_mol_s,permeate_flow_mol_s,retentate_mole_fraction,permeate_mole_fraction,flux_mol_m2_s
0.0,CO2,0.004,4.000000000000193e-13,0.4,0.40000000000001035,0.001959999999999999
0.0,CH4,0.006,6.000000000000031e-13,0.6,0.5999999999999897,0.00029400000000000015
0.2,CO2,0.0039618324265060225,3.8167573893976695e-05,0.39794018102751094,0.8644817097946516,0.0019032527341580898
0.2,CH4,0.005994016757349396,5.983243250602334e-06,0.602059818972489,0.13551829020534845,0.000299674726584191
0.4,CO2,0.003923870055883935,7.612994451606473e-05,0.3958753383159557,0.8639648093520893,0.0018929802106445695
0.4,CH4,0.005988012994411606,1.1987006188393533e-05,0.6041246616840442,0.13603519064791075,0.000300701978935543
0.6000000000000001,CO2,0.0038861133813299234,0.00011388661907007588,0.3938055529136943,0.8634449006414151,0.0018826832745043299
0.6000000000000001,CH4,0.005981988661867007,1.801133873299242e-05,0.6061944470863058,0.1365550993585848,0.0003017316725495671
0.8,CO2,0.0038485628876476726,0.00015143711275232696,0.3917309076961965,0.8629219727091719,0.0018723623412100654
0.8,CH4,0.005975943711235232,2.405628936476731e-05,0.6082690923038034,0.13707802729082805,0.00030276376587899347
1.0,CO2,0.0038112190487809114,0.00018878095161908796,0.3896514872216239,0.8623960149377176,0.0018620178346143478
1.0,CH4,0.005969878095121908,3.0121905478091204e-05,0.6103485127783761,0.1376039850622825,0.00030379821653856527
1.2000000000000002,CO2,0.003774082332648992,0.00022591766775100766,0.3875673780674262,0.8618670126008563,0.0018516501890770453
1.2000000000000002,CH4,0.005963791766735099,3.6208233864899244e-05,0.6124326219325738,0.13813298739914368,0.00030483498109229543
1.4000000000000001,CO2,0.003737153195372149,0.0002628468050278507,0.3854786684661604,0.8613349539549637,0.0018412598469353058
1.4000000000000001,CH4,0.005957684680462785,4.231532013721494e-05,0.6145213315338396,0.13866504604503624,0.0003058740153064694
1.6,CO2,0.003700432087792594,0.0002995679126074054,0.3833854487585016,0.8607998241472417,0.001830847261377784
1.6,CH4,0.00595155679122074,4.8443209379259465e-05,0.6166145512414983,0.1392001758527583,0.0003069152738622216
1.8,CO2,0.0036639194495180823,0.00033608055088191717,0.38128781101247905,0.860261610299794,0.001820412894032416
1.8,CH4,0.005945408055048191,5.4591945551808285e-05,0.6187121889875209,0.13973838970020605,0.00030795871059675835
2.0,CO2,0.003627615712257122,0.0003723842881428774,0.3791858492645553,0.859720298769291,0.0018099572164458474
2.0,CH4,0.005939238428774286,6.076157182571226e-05,0.6208141507354448,0.14027970123070896,0.0003090042783554153
2.2,CO2,0.0035915212978226614,0.00040847870257733815,0.377079659400656,0.8591758764035506,0.001799480709362925
2.2,CH4,0.005933047870217732,6.69521303822662e-05,0.622920340599344,0.14082412359644939,0.0003100519290637076
2.4000000000000004,CO2,0.0035556366177908983,0.0004443633826091013,0.3749693391465625,0.858628330465784,0.0017889838626862341
2.4000000000000004,CH4,0.005926836338220909,7.31636623790899e-05,0.6250306608534376,0.14137166953421598,0.0003111016137313767
2.6,CO2,0.003519962072667968,0.0004800379277320311,0.37285498802230854,0.8580776487980845,0.0017784671752317342
2.6,CH4,0.005920603792733202,7.93962078667969e-05,0.6271450119776915,0.14192235120191554,0.0003121532824768266
2.8000000000000003,CO2,0.003484498053418743,0.0005155019469812563,0.370736707461121,0.8575238190267301,0.001767931155402932
2.8000000000000003,CH4,0.005914350194658124,8.564980594187439e-05,0.629263292538879,0.14247618097326986,0.0003132068844597068
3.0,CO2,0.0034492449437545716,0.000550755056645428,0.3686146009869139,0.8569668278014808,0.0017573763221544214
3.0,CH4,0.005908075505624542,9.192449497545721e-05,0.6313853990130862,0.14303317219851924,0.00031426236778455796
3.2,CO2,0.0034142031166457614,0.000585796883754238,0.36648877398316076,0.8564066622356163,0.0017468032036922424
3.2,CH4,0.005901779688335423,9.822031226457622e-05,0.6335112260168392,0.14359333776438368,0.0003153196796307758
3.4000000000000004,CO2,0.003379372926958601,0.0006206270734413985,0.3643593331697062,0.8558433120945997,0.0017362123346390712
3.4000000000000004,CH4,0.0058954627073041395,0.00010453729329586017,0.6356406668302939,0.1441566879054002,0.0003163787665360929
3.6,CO2,0.003344754725892538,0.0006552452745074615,0.3622263876469905,0.8552767647624835,0.001725604261758704
3.6,CH4,0.005889124527410745,0.00011087547318925385,0.6377736123530096,0.14472323523751662,0.00031743957382412963
3.8000000000000003,CO2,0.0033103488551707015,0.0006896511452292981,0.3600900484969649,0.8547070074797896,0.0017149795417368456
3.8000000000000003,CH4,0.005882765114482929,0.00011723488611707019,0.6399099515030351,0.14529299252021047,0.0003185020458263155
4.0,CO2,0.0032761556450250856,0.0007238443553749137,0.35795042864625504,0.8541340279161888,0.0017043387404396563
4.0,CH4,0.005876384435497491,0.00012361556510250864,0.6420495713537451,0.1458659720838113,0.0003195661259560344
4.2,CO2,0.003242175400442209,0.0007578245999577904,0.35580764184660446,0.8535578176588227,0.0016936824274671402
4.2,CH4,0.0058699824599557785,0.00013001754064422097,0.6441923581533955,0.14644218234117737,0.000320631757253286
4.4,CO2,0.0032084084327163548,0.0007915915676836445,0.3536618050145323,0.8529783635002836,0.0016830111887226333
4.4,CH4,0.005863559156728364,0.00013644084387163556,0.6463381949854676,0.14702163649971636,0.0003216988811277367
4.6000000000000005,CO2,0.0031748550365957905,0.0008251449638042087,0.351513036555126,0.85239565388332,0.001672325617387298
4.6000000000000005,CH4,0.00585711449634042,0.00014288550425957915,0.6484869634448741,0.14760434611668005,0.00032276743826127033
4.800000000000001,CO2,0.003141515493685099,0.0008584845067149001,0.3493614566125281,0.8518096777962116,0.0016616263152830196
4.800000000000001,CH4,0.005850648450631489,0.00014935154996851,0.650638543387472,0.1481903222037883,0.0003238373684716981
5.0,CO2,0.003108390063352055,0.0008916099370479444,0.34720718637128073,0.8512204267039554,0.0016509138891860084
5.0,CH4,0.005844160993664793,0.00015583900693520557,0.6527928136287193,0.1487795732960446,0.00032490861108139924
5.2,CO2,0.00307547900837251,0.0009245209920274893,0.3450503500136407,0.8506278885949938,0.0016401889612087043
5.2,CH4,0.005837652099162748,0.00016234790143725107,0.6549496499863593,0.14937211140500625,0.0003259811038791296
5.4,CO2,0.0030427825746505853,0.0009572174257494141,0.3428910731838546,0.8500320527887916,0.001629452160640394
5.4,CH4,0.0058311217425349405,0.0001688782580650586,0.6571089268161454,0.1499679472112085,0.00032705478393596065
5.6000000000000005,CO2,0.0030103009926715084,0.000989699007728491,0.340729483089429,0.8494329094316697,0.0016187041245039782
5.6000000000000005,CH4,0.0058245699007328485,0.00017543009986715095,0.6592705169105709,0.15056709056833037,0.00032812958754960215
5.800000000000001,CO2,0.002978034475352167,0.0010219655250478324,0.33856570832166255,0.8488304497963625,0.0016079454966286765
5.800000000000001,CH4,0.005817996552464782,0.00018200344813521681,0.6614342916783374,0.15116955020363745,0.0003292054503371324
6.0,CO2,0.0029459832310794938,0.0010540167693205058,0.3363998798771386,0.8482246636419774,0.0015971769330214954
6.0,CH4,0.005811401676892049,0.00018859832370794944,0.6636001201228613,0.15177533635802268,0.0003302823066978505
6.2,CO2,0.0029141474518136487,0.0010858525485863508,0.3342321302235682,0.8476155416349808,0.0015863990969543426
6.2,CH4,0.005804785254818634,0.00019521474578136495,0.6657678697764319,0.15238445836501915,0.00033136009030456574
6.4,CO2,0.00288252731712573,0.0011174726832742692,0.33206259361103974,0.8470030745047171,0.001575612660604727
6.4,CH4,0.005798147268287426,0.0002018527323125731,0.6679374063889602,0.15299692549528277,0.00033243873393952727
6.6000000000000005,CO2,0.0028511229925561573,0.0011488770078438419,0.32989140593434935,0.8463872533304329,0.0015648183043387035
6.6000000000000005,CH4,0.005791487700744383,0.00020851229985561587,0.6701085940656506,0.1536127466695671,0.0003335181695661296
6.800000000000001,CO2,0.00281993462919085,0.001180065371209149,0.32771870468855285,0.8457680695775704,0.0015540167164850073
6.800000000000001,CH4,0.0057848065370809144,0.00021519346351908517,0.6722812953114472,0.15423193042242958,0.00033459832835149933
7.0,CO2,0.0027889623646979184,0.001211037635702081,0.32554462904265485,0.8451455148864929,0.0015432085937246254
7.0,CH4,0.0057781037635302075,0.00022189623706979196,0.6744553709573452,0.15485448511350702,0.0003356791406275376
7.2,CO2,0.002758206322674667,0.0012417936777253324,0.3233693197755999,0.8445195811680463,0.001532394640761195
7.2,CH4,0.005771379367732533,0.0002286206328674668,0.6766306802244001,0.15548041883195365,0.00033676053592388054
7.4,CO2,0.002727666612469661,0.0012723333879303383,0.3211929192488002,0.8438902606113655,0.0015215755701828643
