cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,adsorption,4.5,25.50000000000017,2.945296467857284,25.502665552641076
1,purge,1.499999999999969,28.499999999999808,3.040201190619604,28.497469161945283
2,adsorption,4.500000000000067,25.499999999999055,2.947033687321305,25.502540808688742
2,purge,1.5000000000002167,28.499999999999716,3.051719923108916,28.497471788327132
3,adsorption,4.500000000000149,25.49999999999912,2.947184005455453,25.50252906775225
3,purge,1.4999999999997904,28.49999999999943,3.052704123448942,28.497472062286164
4,adsorption,4.50000000000016,25.50000000000196,2.9471974906250473,25.502528014556503
4,purge,1.499999999999762,28.49999999999983,3.0527924694805293,28.49747208685406
5,adsorption,4.500000000000178,25.500000000002473,2.947198715500978,25.5025279200307
5,purge,1.4999999999997264,28.500000000002984,3.05280038571755,28.497472089047676
