cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,adsorption,4.5000000000000755,25.499999999999442,2.9452964819790814,25.50266555263005
1,purge,1.499999999999714,28.499999999999797,3.040201223377454,28.49746916148281
2,adsorption,4.500000000000157,25.499999999997122,2.9470336708959364,25.502540809138623
2,purge,1.5000000000007105,28.500000000007077,3.051719944994117,28.49747178782289
3,adsorption,4.500000000000195,25.49999999999835,2.947183989087854,25.50252906825243
3,purge,1.499999999998689,28.500000000007873,3.052704178140697,28.497472061399947
4,adsorption,4.500000000000185,25.500000000009777,2.947197484566125,25.50252801540583
4,purge,1.499999999998785,28.500000000007844,3.052792443655189,28.497472086327065
5,adsorption,4.500000000000092,25.50000000001043,2.947198700038779,25.502527920590325
5,purge,1.4999999999987352,28.50000000000736,3.052800392592914,28.49747208857491
