cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,adsorption,4.503818906587077,25.52164047066027,3.7060335972136103,25.49022595207577
1,evacuation,0.0,0.0,0.7397618247785256,0.08816196489665984
2,adsorption,4.503832897045403,25.521719749924085,3.6917332361785267,25.433606597450755
2,evacuation,0.0,0.0,0.8120932899169446,0.08822365799451148
3,adsorption,4.503834615000635,25.52172948500202,3.6888082215291753,25.433507801843348
3,evacuation,0.0,0.0,0.8150261332553779,0.08822560671899282
4,adsorption,4.503834685296582,25.521729883344804,3.6886889467265167,25.433504357155982
4,evacuation,0.0,0.0,0.8151457279528636,0.08822568536469078
5,adsorption,4.503834687702369,25.52172989697739,3.688684093855649,25.433504214890547
5,evacuation,0.0,0.0,0.8151505934146357,0.08822568855960355
