cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,adsorption,4.503818906983253,25.521640472904085,3.7060336059614065,25.49022595431465
1,evacuation,0.0,0.0,0.7397618164262885,0.08816196502788998
2,adsorption,4.5038328994361185,25.52171976347208,3.6917332418202857,25.433606610869575
2,evacuation,0.0,0.0,0.8120932866638242,0.08822365815654365
3,adsorption,4.503834615164026,25.521729485926635,3.6888082279229586,25.43350780260525
3,evacuation,0.0,0.0,0.8150261270249821,0.08822560693103298
4,adsorption,4.503834685163659,25.521729882588133,3.6886889620873724,25.4335043561842
4,evacuation,0.0,0.0,0.8151457124599197,0.08822568557036448
5,adsorption,4.503834687966091,25.52172989846784,3.6886840977868225,25.433504216186506
5,evacuation,0.0,0.0,0.8151505897459295,0.0882256887758075
