time_s,z_m,component,concentration_mol_m3,loading_mol_kg
0.0,0.0,CO2,30.269888014108904,0.0
0.0,0.0,N2,171.5293654132838,0.0
0.0,0.25,CO2,0.0,0.0
0.0,0.25,N2,0.0,0.0
0.0,0.5,CO2,0.0,0.0
0.0,0.5,N2,0.0,0.0
0.0,0.75,CO2,0.0,0.0
0.0,0.75,N2,0.0,0.0
0.0,1.0,CO2,0.0,0.0
0.0,1.0,N2,0.0,0.0
600.0,0.0,CO2,30.269888014108904,0.8318012442248389
600.0,0.0,N2,171.5293654132838,0.24497564352162265
600.0,0.25,CO2,0.0,2.514671413808567e-17
600.0,0.25,N2,0.0,3.4398007987997137e-18
600.0,0.5,CO2,0.0,2.5147137654559296e-17
600.0,0.5,N2,0.0,3.4395890405629e-18
600.0,0.75,CO2,0.0,2.514671413808567e-17
600.0,0.75,N2,0.0,3.4398007987997137e-18
600.0,1.0,CO2,0.0,2.5147137654559296e-17
600.0,1.0,N2,0.0,3.4398007987997137e-18
1200.0,0.0,CO2,30.269888014108904,0.9506299933998159
1200.0,0.0,N2,171.5293654132838,0.2872128234391438
1200.0,0.25,CO2,0.0,2.5173819192397806e-17
1200.0,0.25,N2,0.0,3.5306450823927374e-18
1200.0,0.5,CO2,0.0,2.5175936774765942e-17
1200.0,0.5,N2,0.0,3.5306450823927374e-18
1200.0,0.75,CO2,0.0,2.517466622534506e-17
1200.0,0.75,N2,0.0,3.5306450823927374e-18
1200.0,1.0,CO2,0.0,2.5175089741818688e-17
1200.0,1.0,N2,0.0,3.530856840629551e-18
