z_m,component,reaction_side_flow_mol_s,reaction_side_mole_fraction,permeate_flow_mol_s
0.0,A,0.018000000000000002,0.8999999999999999,0.0
0.0,B,0.001,0.04999999999999999,0.0
0.0,H2,0.001,0.04999999999999999,0.001
0.05,A,0.017643576119879028,0.9101684546885244,0.0
0.05,B,0.001356423880120978,0.06997301558845133,0.0
0.05,H2,0.0003849567395927431,0.019858529723024314,0.0019714671405282355
0.1,A,0.017294209905092176,0.894575195024432,0.0
0.1,B,0.0017057900949078338,0.08823516744604855,0.0
0.1,H2,0.000332315495982247,0.017189637529519446,0.002373474598925587
0.15000000000000002,A,0.016951761604859897,0.8771630812033033,0.0
0.15000000000000002,B,0.002048238395140112,0.105985392173338,0.0
0.15000000000000002,H2,0.0003256669918269342,0.016851526623358596,0.002722571403313179
0.2,A,0.016616094235296072,0.8599262148984836,0.0
0.2,B,0.0023839057647039434,0.12337334104436785,0.0
0.2,H2,0.0003226976308166479,0.016700444057148413,0.003061208133887296
0.25,A,0.016287073524977245,0.8430133179271962,0.0
0.25,B,0.0027129264750227677,0.14042014027223296,0.0
0.25,H2,0.00032006669245029375,0.016566541800570808,0.0033928597825724745
0.30000000000000004,A,0.015964567861232324,0.8264298809138465,0.0
0.30000000000000004,B,0.003035432138767686,0.1571337127800089,0.0
0.30000000000000004,H2,0.0003175104505890752,0.016436406306144524,0.003717921688178612
0.35000000000000003,A,0.01564844823749598,0.8101704572988001,0.0
0.35000000000000003,B,0.003351551762504029,0.17352060618906373,0.0
0.35000000000000003,H2,0.00031500722658990706,0.01630893651213621,0.004036544535914124
0.4,A,0.015338588201643582,0.7942288696774547,0.0
0.4,B,0.0036614117983564264,0.1895871325185403,0.0
0.4,H2,0.0003125543369794018,0.016183997804004986,0.004348857461377027
0.45,A,0.015034863805169461,0.7785989908190505,0.0
0.45,B,0.003965136194830549,0.20533947495378446,0.0
0.45,H2,0.0003101506455248097,0.016061534227165025,0.004654985549305741
0.5,A,0.01473715355476218,0.7632748041709833,0.0
0.5,B,0.004262846445237832,0.22078369975648834,0.0
0.5,H2,0.00030779514039986803,0.015941496072528424,0.004955051304837965
0.55,A,0.014445338539863286,0.7482504145470621,0.0
0.55,B,0.0045546614601367245,0.2359257497679307,0.0
