cycle,step,name,component,loading_mol_kg,pressure_pa
1,1,pressurization,CO2,0.03770093144215644,500000.0
1,1,pressurization,N2,0.07672097781587621,500000.0
1,2,adsorption,CO2,0.1438042268367533,500000.0
1,2,adsorption,N2,0.2470817418110135,500000.0
1,3,counter-current blowdown,CO2,0.07892143300751508,10000.0
1,3,counter-current blowdown,N2,0.15754627433044477,10000.0
1,4,purge,CO2,0.03875333799542007,10000.0
1,4,purge,N2,0.09281197839342077,10000.0
2,1,pressurization,CO2,0.07645426943757652,500000.0
2,1,pressurization,N2,0.14547778250724022,500000.0
2,2,adsorption,CO2,0.1825575648321734,500000.0
2,2,adsorption,N2,0.26242345865309186,500000.0
2,3,counter-current blowdown,CO2,0.10018971583688638,10000.0
2,3,counter-current blowdown,N2,0.16732858488316382,10000.0
2,4,purge,CO2,0.04830979348769356,10000.0
2,4,purge,N2,0.09818062425263838,10000.0
3,1,pressurization,CO2,0.08601072492985001,500000.0
3,1,pressurization,N2,0.1494549731801361,500000.0
3,2,adsorption,CO2,0.19211402032444688,500000.0
3,2,adsorption,N2,0.26331088984487594,500000.0
3,3,counter-current blowdown,CO2,0.10543440981086073,10000.0
3,3,counter-current blowdown,N2,0.1678944359936726,10000.0
3,4,purge,CO2,0.05066638639813129,10000.0
3,4,purge,N2,0.09849116992638232,10000.0
4,1,pressurization,CO2,0.08836731784028773,500000.0
4,1,pressurization,N2,0.14968503107359948,500000.0
4,2,adsorption,CO2,0.1944706132348846,500000.0
4,2,adsorption,N2,0.26336222269948784,500000.0
4,3,counter-current blowdown,CO2,0.10672773542164564,10000.0
4,3,counter-current blowdown,N2,0.16792716726687626,10000.0
4,4,purge,CO2,0.05124751505509155,10000.0
4,4,purge,N2,0.09850913322998066,10000.0
5,1,pressurization,CO2,0.088948446497248,500000.0
5,1,pressurization,N2,0.14969833861620876,500000.0
5,2,adsorption,CO2,0.19505174189184488,500000.0
5,2,adsorption,N2,0.2633651920136014,500000.0
5,3,counter-current blowdown,CO2,0.10704666559065314,10000.0
5,3,counter-current blowdown,N2,0.1679290605851461,10000.0
5,4,purge,CO2,0.05139081961755742,10000.0
5,4,purge,N2,0.09851017230507797,10000.0
6,1,pressurization,CO2,0.08909175105971387,500000.0
6,1,pressurization,N2,0.1496991083819735,500000.0
6,2,adsorption,CO2,0.19519504645431074,500000.0
6,2,adsorption,N2,0.26336536377155984,500000.0
6,3,counter-current blowdown,CO2,0.10712531280203975,10000.0
6,3,counter-current blowdown,N2,0.16792917010285563,10000.0
6,4,purge,CO2,0.05142615808758048,10000.0
6,4,purge,N2,0.09851023240967133,10000.0
