cycle,step,name,kind,duration_s,inlet,outlet,pressure_start_pa,pressure_end_pa,uptake_total_mol,desorbed_total_mol,outlet_total_mol,CO2_outlet_mol,CO2_loading_mol_kg,N2_outlet_mol,N2_loading_mol_kg
1,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.16176016329063903,0.0,0.061538272872838015,0.0,0.03770093144215644,0.061538272872838015,0.07672097781587621
1,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.3908418560821806,0.0,0.6091581439178194,0.0,0.1438042268367533,0.6091581439178194,0.2470817418110135
1,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.21830367388994937,0.3736265816464629,0.11502432496071922,0.07892143300751508,0.25860225668574366,0.15754627433044477
1,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.14830226133739052,0.5483022613373906,0.06478630648941254,0.03875333799542007,0.483515954847978,0.09281197839342077
2,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.12775296264819547,0.0,0.09554547351528157,0.0,0.07645426943757652,0.09554547351528157,0.14547778250724022
2,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.3153280546720044,0.0,0.6846719453279956,0.0,0.1825575648321734,0.6846719453279956,0.26242345865309186
2,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.2508820137563588,0.4062049215128723,0.13974323934649124,0.10018971583688638,0.26646168216638105,0.16732858488316382
2,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.17109913862187365,0.5710991386218737,0.0813435123144649,0.04830979348769356,0.48975562630740876,0.09818062425263838
3,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.12578583922217895,0.0,0.09751259694129807,0.0,0.08601072492985001,0.09751259694129807,0.1494549731801361
3,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.3109600101127553,0.0,0.6890399898872447,0.0,0.19211402032444688,0.6890399898872447,0.26331088984487594
3,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.2574322461252166,0.41275515388173,0.1458388485859551,0.10543440981086073,0.2669163052957749,0.1678944359936726
3,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.1755430248677407,0.5755430248677407,0.08542646900227907,0.05066638639813129,0.49011655586546166,0.09849116992638232
4,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.12567205230352405,0.0,0.09762638385995298,0.0,0.08836731784028773,0.09762638385995298,0.14968503107359948
4,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.3107073435416745,0.0,0.6892926564583255,0.0,0.1944706132348846,0.6892926564583255,0.26336222269948784
4,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.25896170222321657,0.41428460997973,0.1473420073177813,0.10672773542164564,0.2669426026619487,0.16792716726687626
4,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.17657074731603,0.57657074731603,0.08643331372539914,0.05124751505509155,0.4901374335906309,0.09850913322998066
5,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.12566547037649,0.0,0.09763296578698702,0.0,0.088948446497248,0.09763296578698702,0.14969833861620876
5,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.31069272821546257,0.0,0.6893072717845374,0.0,0.19505174189184488,0.6893072717845374,0.2633651920136014
5,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.25933389775609433,0.41465680551260775,0.14771268169737198,0.10704666559065314,0.2669441238152358,0.1679290605851461
5,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.17682023982574585,0.5768202398257458,0.08668159857728117,0.05139081961755742,0.4901386412484647,0.09851017230507797
6,1,pressurization,pressurization,20.0,feed,closed,10000.0,500000.0,0.12566508964939066,0.0,0.09763334651408635,0.0,0.08909175105971387,0.09763334651408635,0.1496991083819735
6,2,adsorption,adsorption,100.0,feed,waste,500000.0,500000.0,0.31069188280184357,0.0,0.6893081171981564,0.0,0.19519504645431074,0.6893081171981564,0.26336536377155984
6,3,counter-current blowdown,desorption,30.0,closed,product,500000.0,10000.0,0.0,0.2594253929227912,0.4147483006793047,0.14780408887399,0.10712531280203975,0.2669442118053147,0.16792917010285563
6,4,purge,purge,40.0,purge,waste,10000.0,10000.0,0.0,0.1768815359725599,0.5768815359725599,0.08674282486794796,0.05142615808758048,0.49013871110461193,0.09851023240967133
