time_s,z_m,component,concentration_mol_m3,loading_mol_kg,pressure_pa
0.0,0.025,CO2,0.0,0.0,499999.49538678094
0.0,0.025,N2,0.0,0.0,499999.49538678094
0.0,0.07500000000000001,CO2,0.0,0.0,499998.48616034276
0.0,0.07500000000000001,N2,0.0,0.0,499998.48616034276
0.0,0.125,CO2,0.0,0.0,499997.47693390463
0.0,0.125,N2,0.0,0.0,499997.47693390463
0.0,0.17500000000000002,CO2,0.0,0.0,499996.46770746645
0.0,0.17500000000000002,N2,0.0,0.0,499996.46770746645
0.0,0.225,CO2,0.0,0.0,499995.4584810283
0.0,0.225,N2,0.0,0.0,499995.4584810283
0.0,0.275,CO2,0.0,0.0,499994.44925459014
0.0,0.275,N2,0.0,0.0,499994.44925459014
0.0,0.325,CO2,0.0,0.0,499993.440028152
0.0,0.325,N2,0.0,0.0,499993.440028152
0.0,0.375,CO2,0.0,0.0,499992.43080171384
0.0,0.375,N2,0.0,0.0,499992.43080171384
0.0,0.42500000000000004,CO2,0.0,0.0,499991.4215752757
0.0,0.42500000000000004,N2,0.0,0.0,499991.4215752757
0.0,0.47500000000000003,CO2,0.0,0.0,499990.41234883753
0.0,0.47500000000000003,N2,0.0,0.0,499990.41234883753
0.0,0.525,CO2,0.0,0.0,499989.4031223994
0.0,0.525,N2,0.0,0.0,499989.4031223994
0.0,0.5750000000000001,CO2,0.0,0.0,499988.3938959612
0.0,0.5750000000000001,N2,0.0,0.0,499988.3938959612
0.0,0.625,CO2,0.0,0.0,499987.3846695231
0.0,0.625,N2,0.0,0.0,499987.3846695231
0.0,0.675,CO2,0.0,0.0,499986.3754430849
0.0,0.675,N2,0.0,0.0,499986.3754430849
0.0,0.7250000000000001,CO2,0.0,0.0,499985.3662166468
0.0,0.7250000000000001,N2,0.0,0.0,499985.3662166468
0.0,0.775,CO2,0.0,0.0,499984.3569902086
0.0,0.775,N2,0.0,0.0,499984.3569902086
0.0,0.8250000000000001,CO2,0.0,0.0,499983.3477637705
0.0,0.8250000000000001,N2,0.0,0.0,499983.3477637705
0.0,0.875,CO2,0.0,0.0,499982.3385373323
0.0,0.875,N2,0.0,0.0,499982.3385373323
0.0,0.925,CO2,0.0,0.0,499981.3293108942
0.0,0.925,N2,0.0,0.0,499981.3293108942
0.0,0.9750000000000001,CO2,0.0,0.0,499980.320084456
0.0,0.9750000000000001,N2,0.0,0.0,499980.320084456
50.0,0.025,CO2,9.347616565023172,0.16931003047795606,499999.49538678094
50.0,0.025,N2,159.8481992710832,0.0896396228836547,499999.49538678094
50.0,0.07500000000000001,CO2,2.3005694434562387,0.04640261755275623,499998.48616034276
50.0,0.07500000000000001,N2,147.95807074180195,0.08080895070947995,499998.48616034276
50.0,0.125,CO2,0.5168090972092743,0.010105131720761098,499997.47693390463
50.0,0.125,N2,135.89326046375376,0.07176428998429032,499997.47693390463
50.0,0.17500000000000002,CO2,0.11180313353362412,0.0020512076756478165,499996.46770746645
50.0,0.17500000000000002,N2,123.68551585509188,0.06275155583032921,499996.46770746645
50.0,0.225,CO2,0.02367084497930335,0.0004070338007901136,499995.4584810283
50.0,0.225,N2,111.35973712219989,0.05394554788880411,499995.4584810283
50.0,0.275,CO2,0.004932301277796631,7.98748813426424e-05,499994.44925459014
50.0,0.275,N2,98.94546085507898,0.04550227276568016,499994.44925459014
50.0,0.325,CO2,0.0010142710129664339,1.5547353730252397e-05,499993.440028152
50.0,0.325,N2,86.50379613733847,0.03757037916474483,499993.440028152
50.0,0.375,CO2,0.00020620561982533377,3.0050154614298935e-06,499992.43080171384
50.0,0.375,N2,74.16080864589175,0.03028971635525798,499992.43080171384
50.0,0.42500000000000004,CO2,4.1501713682083864e-05,5.771031275364835e-07,499991.4215752757
50.0,0.42500000000000004,N2,62.12913898225328,0.023782849661144984,499991.4215752757
50.0,0.47500000000000003,CO2,8.277644165663602e-06,1.101744965320358e-07,499990.41234883753
50.0,0.47500000000000003,N2,50.699329837711346,0.018142437777212046,499990.41234883753
50.0,0.525,CO2,1.6375458244960822e-06,2.091698912794621e-08,499989.4031223994
50.0,0.525,N2,40.195053561552534,0.013418027554261582,499989.4031223994
50.0,0.5750000000000001,CO2,3.2153844156006805e-07,3.950507581382718e-09,499988.3938959612
50.0,0.5750000000000001,N2,30.90605596291078,0.009606834899188234,499988.3938959612
50.0,0.625,CO2,6.270212602339264e-08,7.42451752771224e-10,499987.3846695231
50.0,0.625,N2,23.025821368999793,0.006652754050241564,499987.3846695231
50.0,0.675,CO2,1.2149534767840378e-08,1.3888499736668909e-10,499986.3754430849
50.0,0.675,N2,16.61811904671045,0.004455345988701022,499986.3754430849
50.0,0.7250000000000001,CO2,2.3401937075775877e-09,2.586491614120879e-11,499985.3662166468
50.0,0.7250000000000001,N2,11.620554711294886,0.002886689381181369,499985.3662166468
50.0,0.775,CO2,4.482497184264147e-10,4.796462827796212e-12,499984.3569902086
50.0,0.775,N2,7.876187312426051,0.0018109366074993642,499984.3569902086
