time_s,total_concentration_mol_m3,CO2_concentration_mol_m3,CO2_mole_fraction,N2_concentration_mol_m3,N2_mole_fraction
0.0,1e-30,0.0,0.0,0.0,0.0
50.0,1.2710087233564409,5.863700703135858e-13,4.613422862788209e-13,1.2710087233558545,0.9999999999995386
100.0,17.651284323433178,5.076374935896046e-12,2.8759238381066936e-13,17.6512843234281,0.9999999999997123
150.0,35.2619304532493,2.4291221595294666e-11,6.888795163242768e-13,35.261930453225006,0.9999999999993111
200.0,54.598029878038695,8.684244236669266e-11,1.5905783150176237e-12,54.59802987795185,0.9999999999984094
250.0,74.10460859651093,2.5840694172981577e-10,3.4870562927712753e-12,74.10460859625252,0.9999999999965129
300.0,92.2309826733314,6.759101149168481e-10,7.328449674127646e-12,92.23098267265549,0.9999999999926715
350.0,108.13527975101191,1.6053007733636803e-09,1.4845300969859084e-11,108.1352797494066,0.9999999999851547
400.0,121.54142787454363,3.534018915506334e-09,2.9076661162432503e-11,121.54142787100962,0.9999999999709234
450.0,132.52621640340755,7.315341974408102e-09,5.5199206413169796e-11,132.5262163960922,0.9999999999448007
500.0,141.34675339072967,1.4386439924159913e-08,1.0178118406717828e-10,141.34675337634323,0.9999999998982187
550.0,148.3235856149875,2.7086161566246105e-08,1.8261533696033542e-10,148.32358558790133,0.9999999998173846
600.0,153.78007224754427,4.911527385001136e-08,3.1938646621877685e-10,153.780072198429,0.9999999996806136
650.0,158.01184046494134,8.619029629785042e-08,5.454673272853484e-10,158.01184037875106,0.9999999994545328
700.0,161.2712505744274,1.4694885704559876e-07,9.111906587329477e-10,161.27125042747855,0.9999999990888094
750.0,163.76785514301574,2.441689202543459e-07,1.4909453386998152e-09,163.76785489884682,0.9999999985090546
800.0,165.67215958025142,3.96439642686251e-07,2.3929164905598763e-09,165.67215918381177,0.9999999976070835
850.0,167.1192492986638,6.30402719564277e-07,3.772172997484362e-09,167.11924866826106,0.999999996227827
900.0,168.21543131303312,9.836681728702158e-07,5.8476690586115235e-09,168.21543032936495,0.999999994152331
950.0,169.04374232725544,1.5086664378559441e-06,8.924710356537683e-09,169.04374081858901,0.9999999910752897
1000.0,169.66808847009847,2.2775647683176896e-06,1.3423648423545935e-08,169.6680861925337,0.9999999865763516
1050.0,170.13762868149442,3.38865904575379e-06,1.991716395728965e-08,170.13762529283537,0.999999980082836
1100.0,170.4902201909422,4.974519097089745e-06,2.9177738708522302e-08,170.4902152164231,0.9999999708222612
1150.0,170.75457037868958,7.212283487056214e-06,4.223771856332296e-08,170.7545631664061,0.9999999577622815
1200.0,170.95235059174627,1.0336685639237154e-05,6.046530277856394e-08,170.95234025506062,0.9999999395346971
1250.0,171.10011234044038,1.4656181870048284e-05,8.565851693239492e-08,171.10009768425851,0.9999999143414832
1300.0,171.2104201551853,2.0573201658710643e-05,1.2016325665262122e-07,171.21039958198364,0.9999998798367434
1350.0,171.2926521448288,2.8609291231218005e-05,1.670199560400799e-07,171.29262353553756,0.9999998329800439
1400.0,171.3538558055999,3.943613893433587e-05,2.3014445020178582e-07,171.35381636946096,0.9999997698555498
1450.0,171.39937345717792,5.391372168135005e-05,3.1455028448408975e-07,171.39931954345624,0.9999996854497156
1500.0,171.43319614687925,7.313722210582431e-05,4.266222864045674e-07,171.43312300965715,0.9999995733777136
1550.0,171.45829731751667,9.849400786389988e-05,5.744487692042271e-07,171.4581988235088,0.9999994255512308
1600.0,171.476916176325,0.00013173350817854686,7.68228815376461e-07,171.47678444281684,0.9999992317711847
1650.0,171.49072919332775,0.00017505212822235963,1.0207672977179831e-06,171.49055414119954,0.9999989792327023
1700.0,171.50097283255957,0.00023119625063312656,1.3480754471220924e-06,171.50074163630893,0.9999986519245528
1750.0,171.5085713477084,0.0003035869238060885,1.7700976774543277e-06,171.5082677607846,0.9999982299023227
1800.0,171.51422371876583,0.0003964705959165601,2.311590183719446e-06,171.51382724816992,0.9999976884098163
1850.0,171.51844748524326,0.0005151010532879447,3.003181645124568e-06,171.51793238418998,0.999996996818355
1900.0,171.5216242336056,0.0006659586758204882,3.88265140792673e-06,171.52095827492977,0.9999961173485921
1950.0,171.52404366034727,0.0008570142994985943,4.996467441005869e-06,171.52318664604778,0.999995003532559
2000.0,171.52592611386254,0.001098046394869515,6.401635133225333e-06,171.52482806746767,0.9999935983648668
2050.0,171.52743687930948,0.0014010219499846798,8.16791747999167e-06,171.5260358573595,0.99999183208252
2100.0,171.52870384023714,0.0017805524047588305,1.0380492389292742e-05,171.52692328783237,0.9999896195076107
2150.0,171.529829901639,0.002254443512179151,1.3143157160896884e-05,171.52757545812682,0.9999868568428391
2200.0,171.53089882095807,0.002844350567779794,1.6582146932889878e-05,171.5280544703903,0.9999834178530671
2250.0,171.53198223645887,0.003576563408489118,2.0850708782451908e-05,171.52840567305037,0.9999791492912175
2300.0,171.53314606661593,0.004482946211256578,2.6134576984413258e-05,171.52866312040467,0.9999738654230156
2350.0,171.53445398464905,0.0056020598319508836,3.265851088115641e-05,171.5288519248171,0.9999673414891189
2400.0,171.53597068654423,0.006980506220322548,4.0694124925426605e-05,171.52899018032392,0.9999593058750746
2450.0,171.53776580366153,0.008674527115341283,5.056919725344891e-05,171.52909127654618,0.9999494308027466
2500.0,171.53991716527827,0.010751916911648552,6.26788043816595e-05,171.5291652483666,0.9999373211956183
2550.0,171.5425136741715,0.01329430480282778,7.749860088956743e-05,171.52921936936866,0.9999225013991104
2600.0,171.5456587694341,0.016399873639302228,9.560063342287475e-05,171.5292588957948,0.9999043993665772
2650.0,171.54947434852699,0.020186597367497144,0.00011767216101452588,171.5292877511595,0.9998823278389856
2700.0,171.55410492149852,0.024796093956651298,0.0001445380392850276,171.52930882754188,0.9998554619607151
2750.0,171.55972240999375,0.030398207369344028,0.00017718731962446484,171.52932420262442,0.9998228126803756
2800.0,171.5665318563556,0.037196449796915165,0.00021680481265459143,171.5293354065587,0.9997831951873455
